Riot Games Name,Riot Games Tag Line,Summoner Level,Summoner Points,Summoner Wins,Summoner Losses,Is Veteran?,Is Inactive?,Is Fresh Blood?,Is Hot Streak?,Summoner Tier
28 09 19 91 HA,VN2,19,231,124,98,False,False,False,False,Grandmaster
minhpp,0509,506,413,166,140,False,False,True,False,Grandmaster
Bác Công,VN2,57,453,173,131,False,False,True,False,Grandmaster
cún siêu nhân,5380,64,246,123,82,False,False,True,False,Grandmaster
bhgxgdthtd,5233,24,272,229,207,True,False,False,False,Grandmaster
AOF Yosshino,2608,547,367,162,131,False,False,True,False,Grandmaster
Bỏ Bạn Chạy Luôn,VN2,492,244,184,154,False,False,True,False,Grandmaster
Im35,VN2,2,256,131,90,False,False,True,True,Grandmaster
Raion,3007,656,426,147,114,False,False,False,True,Grandmaster
hehehe,6840,114,281,103,79,False,False,True,False,Grandmaster
Gnuttt,Tung,147,251,127,95,False,False,True,False,Grandmaster
jk12061997123456,12345,26,314,193,153,False,False,True,False,Grandmaster
Ronda,16127,148,261,117,90,False,False,True,False,Grandmaster
VoG丶Ginnn,6015,84,306,176,137,True,False,False,False,Grandmaster
Ba Trà Cú,2000,241,258,186,150,False,False,True,False,Grandmaster
Risina,nat11,31,501,167,116,False,False,True,True,Grandmaster
Phút Đam Mê,VN2,207,325,142,97,False,False,True,False,Grandmaster
Anh WOLF,9676,601,506,139,121,False,False,True,False,Grandmaster
Yugimuto,1999,60,304,161,139,False,False,True,False,Grandmaster
TL x EnTiKayyyyy,4545,274,230,121,105,False,False,True,False,Grandmaster
PTHiếuu,NTNH,1191,253,238,214,False,False,True,True,Grandmaster
Duke,But,116,253,198,161,False,False,False,False,Grandmaster
Chanh Màu Vàng,8888,594,234,109,76,False,False,True,False,Grandmaster
đần vì ems,yag,2,346,177,133,False,False,True,False,Grandmaster
cool1296,1296,18,404,168,130,False,False,True,False,Grandmaster
Hứa Rồi Lại Quên,VN2,236,244,263,218,False,False,True,False,Grandmaster
Abaotucay,VN2,2,330,291,262,False,False,True,True,Grandmaster
