Riot Games Name,Riot Games Tag Line,Summoner Level,Summoner Id,Summoner Name,Summoner Points,Summoner Rank,Summoner Wins,Summoner Losses,Is Veteran?,Is Inactive?,Is Fresh Blood?,Is Hot Streak?,Summoner Tier
nút D bị lờn,2317,24,0_eIUBHZkpADRyGfzGc-79m13vMolacaJvtbFxm99aQ7mW7ZC6wRHp7uWg,hai2002qw,278,I,194,151,False,False,True,False,Grandmaster
Sknovaez,4124,180,tx76LnuRWmCiuDUANDIiQ2GN9SEh8v_TYVblnxwrj3S4ItKe2auqdFZOMQ,Ai Em Bita,388,I,229,222,False,False,True,False,Grandmaster
bi long1,6394,91,mIrNhIZXN2KZ0H9UnMRf8aSe3zRyYdEbqTBgBkVgRBmowitduk2oRukvOw,tubông1420,352,I,127,103,False,False,True,False,Grandmaster
tuansaker,2503,384,AqehDMKch1S4Jeh8xhTRF_hI_KalELW_UdlnYAtzFBRtxNIWC-CZuxBEcQ,tuanlazydandyy,487,I,133,89,False,False,True,True,Grandmaster
ho con ciuciu,VN2,78,8LR70hOf4nyyQIWHMFmcd5p05vl7-Gm0EhTgiMXAjRxxJd1MkkkprJMoDQ,ho con ciuciu,464,I,151,85,False,False,True,True,Grandmaster
Jayce Tơ Hồng,uzui,173,J8CzBwPidqzZCcOJYYf0PJtJow0gV1WegZ4HVp_s1rm8XbxwZ8TXv9h3HQ,Huyền Vi,255,I,123,102,False,False,True,False,Grandmaster
Chill chiu,VN2,112,cqpW7p00SIElXf-N8f7E0x61BjkSRitfmdJa8SSBoUmDBf3QcrSAW5hNig,Chill chiu,254,I,97,71,False,False,True,False,Grandmaster
ConBòĐiĂnCỏ,235,642,JYNilOMT4GozBnobYF8e8VSDdYCzrb5Yu0Zk238Mn3WHxa4gMlP9hmKGzg,ConBòĐiĂnCỏ,342,I,158,131,False,False,True,False,Grandmaster
Charlotte,25021,419,f5dbGfAoZb80NA2NQfggM8S6m8EctBTCs8F-u6EnwmAsfxNWW3janC38rQ,P 25 02 01,430,I,166,122,False,False,False,True,Grandmaster
qtnamm,1112,2,iJGjsfA-1m9qSde0PygpmFwlfJQh8wEsg1RZj7qCS4Om3e8HLEmQCEwu8A,Nam Nội Tâm,231,I,97,81,False,False,True,False,Grandmaster
luge293,WBH,639,Bqt4uJEhkJXE_q8owa7h3vS23fUrb3EyBFLCfsMHBObz_58wmBpnA-Yh7g,sakamihihi,312,I,83,60,False,False,True,True,Grandmaster
nhangu,VN2,5,wp9VuaJHSllddZoogY4t6b-u14wC_zqG8d6bKv9pQd7yLtKu7r4KJVBuvQ,nhangu,314,I,147,104,False,False,True,True,Grandmaster
Linn Đi Mưaaa,Linn,10,LaGMe1-D9-0fQ-isInL7Tdri-PR3M9wQm600IzGZuubiQs3HYDZEk8Q-2Q,Linn Đi Mưaaa,334,I,152,140,False,False,True,False,Grandmaster
Sagamy,Ino,1,bSPw9UHtXxn9Nu-7lqWDNWMyEScQzbrBmw3zACkdlm_JVvd72SEe-6526Q,,295,I,138,102,False,False,True,False,Grandmaster
Nút D Độ Sang,3958,24,WWfdLKQGdrocgveId6eNZ2Hw1adjNOuT2XOlu989ffuNFwksJbTXcorrXg,taokopbt,237,I,129,104,False,False,True,False,Grandmaster
Thỏ Meöw Meöw,1928,249,aZ9xSseZeOkqwSbtZvsJYdI8e2m_moFVyga8-xabEUkjD1A4mpsk5qSdRw,GD Thỏ Meöw Meöw,265,I,123,107,False,False,True,False,Grandmaster
HoangBuii,2710,42,W7Uzkleyp2gmS9E0zQdWB0nwlGvNlpssLSZpfO0Lt-Ad-SzGoimWMtkPnw,HoangBuii,266,I,108,80,False,False,True,True,Grandmaster
C4N,1234,281,ICV0yqCnNmnCrOcPTjmgdCoexiF0UkiOM3NocQ9OzyOPPLEuP9MxuGscUw,TSK C4N,304,I,88,50,False,False,True,True,Grandmaster
VIE Wonka,2598,325,KE-KHUAlU99qvCkVULMpjgwUcpoCWDsVc9eaidWvI2cgZaj5bAKhQDnxPQ,Nguyễn Dưa Hấu,513,I,90,58,False,False,True,False,Grandmaster
Natsuiro,VN2,399,O4_ZLOh0hXABBDx_1m8VbXRMCB7j4HLoX-CrazeG2OSnTyfP8kyBm7c1pg,Natsuiro,379,I,127,91,False,False,True,False,Grandmaster
Chủ Lò Gạo,2471,717,kYoPBO4jXebDy1K0XZeQxCeGeJPZbnfy1r9ofKYaMuM-WZYSB_FItdrY0Q,Nghĩa Tọt Hà Tây,231,I,67,36,False,False,True,True,Grandmaster
namlovehuong,3107,552,R3lnUMdbfIE7hv2m1cx-D4A6Oo9heE2605FZpu4Fz1TvOyKDWFGFX2OxMA,namlovehuong,309,I,113,78,False,False,False,False,Grandmaster
VN Dor1s,E9pro,71,t6E2PO-rz4k26Te-sa8NHqADDdM0yG57JmXzYdL2XU8Of_vO90KzpqTeEQ,E9 Hnihc,508,I,137,97,False,False,True,False,Grandmaster
LEGION7PRO,VN2,215,8fkK9XzQsbBuM99oaVzFD0XJk7pCnC8BpB9X4KNvoEq3n6m4PSNujrsiPw,LEGION7PRO,364,I,118,93,False,False,True,False,Grandmaster
Đô Hoàng,2002,258,xw_Cw_xDyOuozlGaCyWGyMKpy7Mral83JlpwfgrCjvBSLoic2hZWogcZmA,Đô Hoàng,419,I,138,103,False,False,True,False,Grandmaster
Ha1 Huynh,12345,146,TEJQJNLlN8wS3UODU2wnMfCcQchvwe7fjTcYlFzgB1ORV_GDap7kp51AZQ,HẢ1 HUYNH,233,I,208,190,False,False,True,False,Grandmaster
TK14 Phối XD,VN2,453,PMk5DgkMKAjw-QwlnS_Likksg43H8O5gitcl9jVdJNtdOWWeOymoWjTwow,TK14 Phối XD,302,I,98,76,False,False,True,True,Grandmaster
